project,sha,author,commit_date,is_bug
'spring-framework','9076c70d47fb86f0c4bcbf759269a1a571300c84','Phillip Webb','2014-01-17','True'
'spring-framework','7e6dbc24f6bd4bb0dde9022d245b2d909f851036','Phillip Webb','2014-01-17','True'
